"","reef_name","country","state_province_island","city_town","latitude","longitude","year","month","date_substrate","date_erddap","depth..m.","substrate_code","total","CRW_BAA","CRW_DHW","CRW_SST","CRW_SSTANOMALY"
"1","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-03,16,"HC",10,1,"0.0","28.92","1.52"
"2","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-08,16,"HC",10,1,"0.0","28.91","1.47"
"3","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-13,16,"HC",10,1,"0.0","28.78","1.3"
"4","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-18,16,"HC",10,1,"0.0","29.03","1.5"
"5","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-23,16,"HC",10,1,"0.0","28.78","1.21"
"6","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-28,16,"HC",10,1,"0.0","29.32","1.7"
"7","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-03,16,"HC",9,1,"0.0","28.92","1.52"
"8","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-08,16,"HC",9,1,"0.0","28.91","1.47"
"9","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-13,16,"HC",9,1,"0.0","28.78","1.3"
"10","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-18,16,"HC",9,1,"0.0","29.03","1.5"
"11","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-23,16,"HC",9,1,"0.0","28.78","1.21"
"12","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-28,16,"HC",9,1,"0.0","29.32","1.7"
"13","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-03,16,"HC",8,1,"0.0","28.92","1.52"
"14","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-08,16,"HC",8,1,"0.0","28.91","1.47"
"15","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-13,16,"HC",8,1,"0.0","28.78","1.3"
"16","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-18,16,"HC",8,1,"0.0","29.03","1.5"
"17","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-23,16,"HC",8,1,"0.0","28.78","1.21"
"18","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-28,16,"HC",8,1,"0.0","29.32","1.7"
"19","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-03,16,"HC",11,1,"0.0","28.92","1.52"
"20","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-08,16,"HC",11,1,"0.0","28.91","1.47"
"21","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-13,16,"HC",11,1,"0.0","28.78","1.3"
"22","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-18,16,"HC",11,1,"0.0","29.03","1.5"
"23","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-23,16,"HC",11,1,"0.0","28.78","1.21"
"24","Mushroom Garden Line 2","Bonaire, Sint Eustatius and Saba","St. Eustatius","Oranjestad",17.5,-63,2005,6,2005-06-12,2005-06-28,16,"HC",11,1,"0.0","29.32","1.7"
"25","Pos Chiquito","Aruba","","Pos Chiquito",12.5,-70,2006,6,2006-06-21,2006-06-03,10,"HC",19,NA,"NaN","NaN","NaN"
"26","Pos Chiquito","Aruba","","Pos Chiquito",12.5,-70,2006,6,2006-06-21,2006-06-08,10,"HC",19,NA,"NaN","NaN","NaN"
"27","Pos Chiquito","Aruba","","Pos Chiquito",12.5,-70,2006,6,2006-06-21,2006-06-13,10,"HC",19,NA,"NaN","NaN","NaN"
"28","Pos Chiquito","Aruba","","Pos Chiquito",12.5,-70,2006,6,2006-06-21,2006-06-18,10,"HC",19,NA,"NaN","NaN","NaN"
"29","Pos Chiquito","Aruba","","Pos Chiquito",12.5,-70,2006,6,2006-06-21,2006-06-23,10,"HC",19,NA,"NaN","NaN","NaN"
